bill_id,policy_id,bill_date,bill_amount,paid_flag,paid_date
1,1,2024-10-14,1954.41,Y,2024-09-12
2,2,2024-02-17,5486.41,Y,2024-07-28
3,3,2024-08-02,6393.14,N,2024-05-24
4,4,2024-01-12,7906.35,N,2024-04-24
5,5,2024-11-21,1126.27,N,2024-03-02
6,6,2024-06-18,3451.62,Y,2024-11-15
7,7,2024-12-16,6354.18,Y,2024-02-23
8,8,2024-08-02,3005.08,Y,2024-04-02
9,9,2024-06-10,5202.3,N,2024-05-02
10,10,2024-11-07,2932.5,Y,2024-11-11
11,11,2024-05-04,8013.49,N,2024-07-24
12,12,2024-08-13,3456.46,Y,2024-08-23
13,13,2024-08-12,9250.67,N,2024-02-24
14,14,2024-07-03,4363.01,Y,2024-09-10
15,15,2024-06-04,892.68,N,2024-05-15
16,16,2024-10-23,4318.55,N,2024-06-15
17,17,2024-01-24,8713.37,N,2024-10-14
18,18,2024-05-21,9802.27,Y,2024-02-22
19,19,2024-11-13,3696.78,Y,2024-01-05
20,20,2024-10-22,7834.99,Y,2024-03-03
21,21,2024-04-25,6487.11,N,2024-07-19
22,22,2024-01-20,1619.04,N,2024-06-12
23,23,2024-08-25,861.17,Y,2024-09-12
24,24,2024-07-11,6530.65,Y,2024-02-01
25,25,2024-12-06,5040.54,N,2024-09-04
26,26,2024-05-25,2676.87,N,2024-04-20
27,27,2024-05-23,9173.14,N,2024-04-04
28,28,2024-03-28,833.12,Y,2024-12-15
29,29,2024-02-26,6851.1,N,2024-11-12
30,30,2024-12-03,5544.97,N,2024-05-28
31,31,2024-03-23,7124.68,Y,2024-06-17
32,32,2024-04-04,9852.81,Y,2024-04-26
33,33,2024-08-01,3672.88,N,2024-08-26
34,34,2024-09-05,6158.29,Y,2024-02-10
35,35,2024-07-23,7216.81,N,2024-07-27
36,36,2024-10-03,1340.74,N,2024-11-03
37,37,2024-08-15,6833.08,N,2024-03-27
38,38,2024-09-21,5919.08,Y,2024-07-17
39,39,2024-01-27,1329.2,Y,2024-05-06
40,40,2024-03-11,9353.9,Y,2024-06-17
41,41,2024-05-28,880.71,Y,2024-11-18
42,42,2024-05-05,6287.72,Y,2024-09-21
43,43,2024-03-19,9421.91,Y,2024-03-22
44,44,2024-10-24,9029.81,N,2024-10-02
45,45,2024-01-03,550.07,N,2024-11-07
46,46,2024-10-14,6219.27,Y,2024-08-21
47,47,2024-09-10,6454.88,N,2024-08-08
48,48,2024-11-13,3044.6,Y,2024-12-02
49,49,2024-03-15,4214.66,N,2024-04-11
50,50,2024-10-05,3194.57,N,2024-12-28
