comm_id,policy_id,agent_id,commission_amount,commission_date
1,1,1,3519.17,2024-07-05
2,2,2,7630.58,2024-09-18
3,3,3,1151.22,2024-04-15
4,4,4,1312.97,2024-08-08
5,5,5,1494.69,2024-01-10
6,6,6,9459.31,2024-10-14
7,7,7,2557.88,2024-03-27
8,8,8,3341.61,2024-10-24
9,9,9,3195.88,2024-03-16
10,10,10,9960.1,2024-08-16
11,11,11,8802.85,2024-08-01
12,12,12,991.49,2024-07-17
13,13,13,4626.58,2024-04-07
14,14,14,5875.11,2024-01-02
15,15,15,2885.43,2024-10-27
16,16,16,6577.17,2024-08-10
17,17,17,5413.24,2024-02-14
18,18,18,1425.96,2024-05-24
19,19,19,3721.2,2024-07-12
20,20,20,547.9,2024-01-19
21,21,21,5661.99,2024-06-18
22,22,22,2957.16,2024-07-17
23,23,23,4558.51,2024-09-09
24,24,24,8270.58,2024-10-22
25,25,25,6149.33,2024-03-04
26,26,26,3999.65,2024-06-18
27,27,27,9395.59,2024-03-07
28,28,28,6064.38,2024-07-17
29,29,29,498.52,2024-01-05
30,30,30,7164.56,2024-08-17
31,31,31,4624.19,2024-10-17
32,32,32,1483.83,2024-10-11
33,33,33,1708.77,2024-10-24
34,34,34,8441.76,2024-10-11
35,35,35,5122.42,2024-09-18
36,36,36,4949.48,2024-10-10
37,37,37,4801.44,2024-01-12
38,38,38,3379.27,2024-02-14
39,39,39,5878.65,2024-12-28
40,40,40,6911.63,2024-01-20
41,41,41,4798.44,2024-11-26
42,42,42,9723.36,2024-10-19
43,43,43,2352.68,2024-01-19
44,44,44,4856.44,2024-09-21
45,45,45,7239.71,2024-07-05
46,46,46,8234.45,2024-04-02
47,47,47,5768.45,2024-12-04
48,48,48,1988.76,2024-08-11
49,49,49,4245.92,2024-07-23
50,50,50,2118.53,2024-09-25
